ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
NGC 5904,15 18 33.22,+02 04 51.7,7500.0,3.8615413112603822,603990.3440804038,9757.440476190475,-1.29,5.5,2687.0,230.14577,0.931384
NGC 5927,15 28 00.69,-50 40 22.9,7700.0,2.463823211485088,240452.8869234826,11873.511904761903,-0.49,8.980544470501613,614.0,230.096119,-50.212238
NGC 5946,15 35 28.52,-50 39 34.8,10600.0,2.744239421862655,134595.33125686366,11081.82198660714,-1.29,4.0,634.0,234.6941,-49.677364
BH 176,15 39 07.45,-50 03 09.8,18900.0,4.948008542447644,7603.787926411225,11081.82198660714,0.0,1.1269177476681682,634.0,234.6941,-49.677364
NGC 5986,15 46 03.00,-37 47 11.1,10400.0,2.9647327030308586,429566.0948261075,11168.15476190476,-1.59,10.942452422184683,1004.0,237.911061,-38.359037
Lynga 7,16 11 03.65,-55 19 04.0,8000.0,2.7925269166112408,78891.4604150557,13989.58333333333,-1.01,4.8317978364874845,436.0,241.890549,-56.451887
Pal 14,16 11 00.6,+14 57 28,76500.0,27.14859765449147,15032.457880364136,11081.82198660714,-1.62,0.4,3303.0,241.334662,14.729271
NGC 6093,16 17 02.41,-22 58 33.9,10000.0,1.7744180914837713,354021.79166348506,11520.833333333332,-1.75,12.4,1624.0,245.300406,-22.717145
NGC 6121,16 23 35.22,-26 31 32.7,2200.0,2.771002541107673,135840.72652343713,11520.833333333332,-1.16,4.0,1408.0,246.323495,-28.079022
NGC 6101,16 25 48.12,-72 12 07.9,15400.0,4.703662480391508,107902.1245030258,11520.833333333332,-1.98,4.354009413337554,127.0,242.81136,-72.099722
NGC 6144,16 27 13.86,-26 01 24.6,8900.0,4.219915559348638,99318.46429006736,12578.869047619048,-1.76,4.410172314281737,1529.0,247.038159,-25.018758
NGC 6139,16 27 40.37,-38 50 55.5,10100.0,2.497275322285549,399052.46299377654,11081.82198660714,-1.65,11.49143397639556,994.0,248.379698,-38.65415
Terzan 3,16 28 40.08,-35 21 12.5,8200.0,2.981604270225354,15311.932138225138,11081.82198660714,-0.74,2.06007218385362,1101.0,248.506196,-35.901301
NGC 6171,16 32 31.86,-13 03 13.6,6400.0,3.2207145182257193,127359.10418158349,13284.226190476187,-1.02,4.1,2080.0,248.706894,-12.415464
1636-283,16 39 25.45,-28 23 55.3,8300.0,1.207186074475011,7328.751492956668,11081.82198660714,-1.5,2.239857196326602,1434.0,249.397796,-27.292743
NGC 6205,16 41 41.24,+36 27 35.5,7100.0,3.4903678969542797,475368.0573249767,10580.357142857143,-1.53,7.1,4259.0,250.225127,37.272582
NGC 6229,16 46 58.79,+47 31 39.9,30500.0,3.1939525428248263,302712.24968724203,11081.82198660714,-1.47,8.849998752970826,4633.0,249.79309,48.201102
NGC 6218,16 47 14.18,-01 56 54.7,4800.0,2.4713864392066447,151715.51500583673,11638.392857142855,-1.37,4.5,2527.0,252.000016,-2.635102
FSR 1735,16 52 10.6,-47 03 29,9800.0,0.9692395144344236,68711.589579975,11081.82198660714,-1.2671710526315787,7.654060369255811,652.0,252.00005,-48.440605
NGC 6235,16 53 25.31,-22 10 38.8,11500.0,3.3452144940086326,59296.627790486906,11081.82198660714,-1.28,3.8273259856124016,1672.0,251.999983,-21.83797
NGC 6254,16 57 09.05,-04 06 01.1,4400.0,2.4958210980304982,177431.20240759235,10345.238095238095,-1.56,6.6,2413.0,253.606593,-5.090318
NGC 6256,16 59 32.62,-37 07 17.0,10300.0,2.5766878061123504,130927.23481345523,11081.82198660714,-1.02,6.6,1097.0,255.493851,-35.901321
Pal 15,16 59 51.0,-00 32 20,45100.0,14.43096452441266,28908.795414918564,11081.82198660714,-2.07,1.286648030110065,2643.0,253.582795,-0.187358
NGC 6266,17 01 12.80,-30 06 49.4,6800.0,1.8197966768567242,849239.127892626,11081.82198660714,-1.18,14.3,1314.0,255.217961,-30.352932
NGC 6273,17 02 37.80,-26 16 04.7,8800.0,3.378957597919705,811017.0708967687,11081.82198660714,-1.74,14.083677381157859,1432.0,254.602282,-27.292748
NGC 6284,17 04 28.51,-24 45 53.5,15300.0,2.937389167195913,276076.8529205773,11081.82198660714,-1.26,6.3,1527.0,256.96182,-25.018768
NGC 6287,17 05 09.13,-22 42 30.1,9400.0,2.0234184107309248,158865.64694485642,11081.82198660714,-2.1,8.054982298063369,1652.0,255.341222,-22.26731
NGC 6293,17 10 10.20,-26 34 55.5,9500.0,2.45945985921653,233899.8782039749,11081.82198660714,-1.99,7.7,1404.0,257.676501,-28.07904
NGC 6304,17 14 32.25,-29 27 43.3,5900.0,2.437061550804907,150324.57880364152,12813.988095238097,-0.45,7.139605081780896,1404.0,257.676501,-28.07904
NGC 6316,17 16 37.30,-28 08 24.4,10400.0,1.9664043140134193,391768.9347011986,11081.82198660714,-0.45,12.831310953942204,1404.0,257.676501,-28.07904
NGC 6341,17 17 07.39,+43 08 09.4,8300.0,2.4626596468302826,347560.165749876,12108.630952380947,-2.31,6.0,4446.0,257.853294,42.68974
NGC 6325,17 17 59.21,-23 45 57.6,7800.0,1.4294246733853224,109908.17477152517,11081.82198660714,-1.25,5.9,1628.0,258.699569,-22.717135
NGC 6333,17 19 11.26,-18 30 57.4,7900.0,2.2060962318661423,273545.7651191699,11081.82198660714,-1.77,10.122673111794132,1844.0,258.626883,-17.696454
NGC 6342,17 21 10.08,-19 35 14.7,8500.0,1.8049613619004783,66839.00800522286,11081.82198660714,-0.55,5.2,1719.0,260.324377,-20.411677
NGC 6356,17 23 34.93,-17 48 46.9,15100.0,3.557853746030333,458173.53055355494,11081.82198660714,-0.4,10.316048927108755,1811.0,261.898531,-18.092189
NGC 6355,17 23 58.59,-26 21 12.3,9200.0,2.3550309887967336,305513.21164761524,11081.82198660714,-1.37,10.354023011724298,1505.0,259.964211,-25.698267
NGC 6352,17 25 29.11,-48 25 19.8,5600.0,3.3393970313107175,69989.03340567139,11991.071428571428,-0.64,4.161725299274455,679.0,260.387027,-48.066626
IC 1257,17 27 08.5,-07 05 35,25000.0,10.18108786613544,52123.07099997796,11081.82198660714,-1.7,2.0568865871414777,2273.0,261.635517,-8.045528
Terzan 2,17 27 33.10,-30 48 08.4,7500.0,3.3161257948864358,40647.14021872442,11081.82198660714,-0.69,3.1826724188456454,1233.0,261.464298,-31.850396
NGC 6366,17 27 44.24,-05 04 47.5,3500.0,2.9728782075106297,35729.75149704107,12578.869047619048,-0.59,1.3,2379.0,263.151439,-5.690052
