,Name,RA,Dec,dist[kpc],rh[pc],r_c,mass[Msun],Age,Z,sigma_v[km/s],sigma_source,OpSim ID,OpSim RA,OpSim Dec,Source Flag,Cluster Type,dist flag,Age flag,Z flag
981,ASCC_87,255.74583333333337,-28.45,0.9,-9.999,,4753.352259428054,8520.0,0.18,1.3346267942617673,rh*,1432.0,254.60227966308602,-27.2927,W,O,,A,Z
982,ASCC_118,332.0958333333333,61.099722222222226,0.9,2.173,,96.16122783836649,7020.0,-0.17527851231543415,0.19173479052338074,rh,4966.0,330.488739013672,61.011,W,O,,A,Z
983,ASCC_128,350.1416666666666,54.599722222222226,0.9,1.548,,587.4893525297763,8440.0,0.01,0.5614942436542282,rh,4786.0,350.57009887695295,53.6561,W,O,,A,Z
984,Dolidze_36,300.6,42.15,0.9,1.1909999999999998,,118.03206356517298,8830.0,-0.5871493335334321,0.28692930457269356,rh,4473.0,299.555145263672,43.3665,W,O,,A,Z
985,ESO_128-16,163.4208333333333,-58.24,0.9,1.25,,72.44359600749902,8920.0,-0.11638294131985893,0.21941978237245843,rh,418.0,164.429595947266,-57.3166,W,O,,A,Z
986,Loden_682,191.81666666666666,-60.65,0.9,1.129,,72.11074791828997,8410.0,0.18,0.23034766568094311,rh,307.0,191.944610595703,-62.0212,W,O,,A,Z
987,Loden_2326,235.8875,-52.475,0.9,0.4188790507240572,,,8300.0,0.16308681186694887,4.235166071441841,m*rh,558.0,233.598556518555,-52.4591,W,O,,A,Z
988,NGC_2202,94.21249999999999,6.0,0.9,2.186,,13.061708881318411,8740.0,0.14,0.07045400853582322,rh,2956.0,95.6232681274414,6.79891,W,O,,A,Z
989,NGC_7031,316.79999999999995,50.875,0.9,3.665211691387937,,,8138.0,-0.3336372889452178,0.3299841899500561,m*rh,4688.0,314.566314697266,50.5834,W,O,,A,Z
990,Pismis-Moreno_1,334.69166666666666,63.269999999999996,0.9,1.501,,49.31738039549359,7550.0,0.04306213804125026,0.16521156317185645,rh,5004.0,334.613555908203,63.321,W,O,,A,Z
991,Ruprecht_12,106.82916666666665,-28.21972222222222,0.9,4.746,,60.67363295885056,7560.0,0.12631200396562406,0.10305449027399109,rh,1346.0,108.000030517578,-28.9965,W,O,,A,Z
992,Ruprecht_91,161.9083333333333,-57.47,0.9,1.107,,66.06934480075961,8630.0,-0.17,0.22266757328331516,rh,418.0,164.429595947266,-57.3166,W,O,,A,Z
993,Ruprecht_116,245.83333333333331,-52.0,0.9,1.341,,23.12064790175595,8950.0,-0.25551712919454744,0.1196785717206628,rh,544.0,247.405624389648,-52.5554,W,O,,A,Z
994,Ruprecht_108,203.0458333333333,-58.46666666666667,0.901,1.5830000000000002,,113.50108156723155,8424.0,-0.3233962595200824,0.2440564720476091,rh,409.0,201.24586486816398,-57.9581,W,O,,A,Z
995,NGC_2682,132.825,11.8,0.908,4.97,,135.5189412351035,9409.0,0.0,0.15050557667298034,rh,3142.0,132.720108032227,10.7215,W,O,,A,Z
996,Stock_20,6.312499999999999,62.61972222222222,0.909,1.581,,94.18895965228413,8530.0,-0.2556739604385295,0.22246661744655877,rh,5029.0,6.32896280288696,63.7821,W,O,,A,Z
997,ESO_062-11,159.72916666666663,-69.03333333333333,0.91,2.273,,8.241381150130021,8530.0,-0.09596368016464102,0.054882143954816304,rh,188.0,156.97265625,-68.155,W,O,,A,Z
998,NGC_2180,92.39999999999999,4.711666666666667,0.91,1.535,,86.4967918775693,8850.0,0.008044687602452057,0.21635981258309858,rh,2828.0,93.9990386962891,4.12674,W,O,,A,Z
999,NGC_3114,150.64999999999998,-60.12,0.911,-9.999,,1442.1153515248682,8093.0,0.02,0.5826054530118732,rh*,327.0,150.48873901367202,-61.011,W,O,,A,Z
1000,NGC_2509,120.19999999999999,-19.051666666666666,0.912,1.5917418940601855,,,9900.0,0.20192062837594427,1.0967019394283994,m*rh,1802.0,121.07364654541,-18.5367,W,O,,A,Z
1001,NGC_6134,246.94166666666663,-49.151666666666664,0.913,1.0659999999999998,,24.490632418447454,8968.0,0.18,0.13815041190501837,rh,624.0,247.66700744628898,-49.7545,W,O,,A,Z
1002,NGC_5822,226.0916666666666,-54.4,0.917,3.0639999999999996,,1766.037820686164,8830.0,0.05,0.691968629340586,rh,465.0,226.946197509766,-55.6972,W,O,,A,Z
1003,NGC_2546,123.06249999999997,-37.595,0.919,5.729,,2264.6443075930597,7874.0,0.12,0.5730484937814019,rh,1005.0,122.088935852051,-38.359,W,O,,A,Z
1004,NGC_3033,147.15416666666667,-56.42166666666667,0.922,1.295,,105.19618738232224,7845.0,-0.04120371887051774,0.25977413194590604,rh,452.0,149.49645996093798,-55.9783,W,O,,A,Z
1005,Loden_807,201.1625,-62.5,0.925,-9.999,,95.71940712948441,8300.0,-0.02,0.2629428349755651,rh*,292.0,198.51780700683602,-62.8026,W,O,,A,Z
1006,NGC_2323,105.67499999999998,-8.383333333333333,0.929,2.944,,542.0008904016238,8096.0,-0.29009273066011787,0.39107664759160565,rh,2296.0,104.763511657715,-7.57015,W,O,,A,Z
1007,Ruprecht_138,269.97499999999997,-24.683333333333334,0.93,1.6231578524955839,,,9300.0,0.10228506558714294,1.29809385554022,m*rh,1541.0,270.911163330078,-24.8893,W,O,,A,Z
1008,NGC_3680,171.4083333333333,-43.24333333333333,0.9380000000000001,1.47,,109.64781961431851,9077.0,-0.09,0.2489270653181408,rh,859.0,172.375213623047,-42.4928,W,O,,A,Z
1009,NGC_6546,271.84166666666664,-23.296666666666667,0.9380000000000001,-9.999,,304.7894989627983,7849.0,-0.33399999999999996,0.14594053440672392,rh*,1642.0,272.64874267578097,-22.3381,W,O,,A,Z
1010,NGC_6208,252.36666666666665,-53.72833333333333,0.9390000000000001,1.771,,14.092887984218748,9069.0,-0.03,0.08130579597802631,rh,497.0,252.00001525878898,-54.0544,W,O,,A,Z
1011,Ruprecht_161,152.18749999999997,-61.29,0.9400000000000001,1.4669999999999999,,707.945784384138,8390.0,-0.25312451119116536,0.6331632936113588,rh,327.0,150.48873901367202,-61.011,W,O,,A,Z
1012,BH_34,127.8125,-44.5,0.9500000000000001,8.29052440122085,,,8480.0,0.019497607526999153,0.1414512935213889,m*rh,792.0,127.566688537598,-44.6103,W,O,,A,Z
1013,Collinder_421,305.79166666666663,41.69305555555555,0.9500000000000001,1.319,,19.724227361148536,9060.0,0.0,0.11145726674844468,rh,4406.0,306.581787109375,41.7674,W,O,,A,Z
